ticker,snapshot_dt,expiry,HV,IV,spread,decile,position,notional,approx_straddle_pct
MOH,2026-03-03,2026-03-20,1.1568,0.5318,0.6251,10,LONG STRADDLE,10000,0.1228
APP,2026-03-03,2026-03-20,1.3069,0.7867,0.5202,10,LONG STRADDLE,10000,0.1817
EPAM,2026-03-03,2026-03-20,0.9713,0.5848,0.3865,10,LONG STRADDLE,10000,0.1351
BSX,2026-03-03,2026-03-20,0.7172,0.342,0.3752,10,LONG STRADDLE,10000,0.079
COIN,2026-03-03,2026-03-20,1.1403,0.7721,0.3682,10,LONG STRADDLE,10000,0.1783
DVA,2026-03-03,2026-03-20,0.7643,0.3997,0.3647,10,LONG STRADDLE,10000,0.0923
AKAM,2026-03-03,2026-03-20,0.7686,0.4227,0.3459,10,LONG STRADDLE,10000,0.0976
KEYS,2026-03-03,2026-03-20,0.7631,0.418,0.3451,10,LONG STRADDLE,10000,0.0965
TSLA,2026-03-03,2026-03-20,0.3174,0.4533,-0.136,1,SHORT STRADDLE,10000,0.1047
MTD,2026-03-03,2026-03-20,0.1908,0.3279,-0.1371,1,SHORT STRADDLE,10000,0.0757
VRTX,2026-03-03,2026-03-20,0.3583,0.4957,-0.1374,1,SHORT STRADDLE,10000,0.1145
DECK,2026-03-03,2026-03-20,0.2873,0.4487,-0.1613,1,SHORT STRADDLE,10000,0.1036
LULU,2026-03-03,2026-03-20,0.4759,0.7466,-0.2706,1,SHORT STRADDLE,10000,0.1724
MRNA,2026-03-03,2026-03-20,0.5253,0.8069,-0.2816,1,SHORT STRADDLE,10000,0.1863
DLTR,2026-03-03,2026-03-20,0.3664,0.6696,-0.3032,1,SHORT STRADDLE,10000,0.1546
CIEN,2026-03-03,2026-03-20,0.6334,1.1939,-0.5605,1,SHORT STRADDLE,10000,0.2757
